route_id,service_id,trip_id,direction_id,trip_headsign,shape_id
WES-RAI-1830,S74172_358,2426706,0,Perth Stn,74172
WES-RAI-1830,S74172_358,2426707,0,Perth Stn,74172
WES-RAI-1830,S74172_358,2426708,0,Perth Stn,74172
WES-RAI-1830,S74172_358,2426709,0,Perth Stn,74172
WES-RAI-1830,S74172_358,2426710,0,Perth Stn,74172
WES-RAI-1830,S74172_358,2426711,0,Perth Stn,74172
WES-RAI-1830,S74172_358,2426712,0,Perth Stn,74172
WES-RAI-1830,S74172_358,2426713,0,Perth Stn,74172
WES-RAI-1830,S74172_358,2426714,0,Perth Stn,74172
WES-RAI-1830,S74172_358,2426715,0,Perth Stn,74172
WES-RAI-1830,S74172_358,2426716,0,Perth Stn,74172
WES-RAI-1830,S74172_358,2426717,0,Perth Stn,74172
WES-RAI-1830,S74172_358,2426718,0,Perth Stn,74172
WES-RAI-1830,S74172_358,2426719,0,Perth Stn,74172
WES-RAI-1830,S74172_358,2426720,0,Perth Stn,74172
WES-RAI-1830,S74172_358,2426721,0,Perth Stn,74172
WES-RAI-1830,S74172_358,2426722,0,Perth Stn,74172
WES-RAI-1830,S74172_358,2426723,0,Perth Stn,74172
WES-RAI-1830,S74172_358,2426724,0,Perth Stn,74172
WES-RAI-1830,S74172_358,2426725,0,Perth Stn,74172
WES-RAI-1830,S74172_358,2426726,0,Perth Stn,74172
WES-RAI-1830,S74172_358,2426727,0,Perth Stn,74172
WES-RAI-1830,S74172_358,2426728,0,Perth Stn,74172
WES-RAI-1830,S74172_358,2426729,0,Perth Stn,74172
WES-RAI-1830,S74172_358,2426730,0,Perth Stn,74172
WES-RAI-1830,S74172_358,2426731,0,Perth Stn,74172
WES-RAI-1830,S74172_358,2426732,0,Perth Stn,74172
WES-RAI-1830,S74172_358,2426733,0,Perth Stn,74172
WES-RAI-1830,S74172_358,2426734,0,Perth Stn,74172
WES-RAI-1830,S74172_358,2426735,0,Perth Stn,74172
WES-RAI-1830,S74172_358,2426736,0,Perth Stn,74172
WES-RAI-1830,S74172_358,2426737,0,Perth Stn,74172
WES-RAI-1830,S74172_358,2426738,0,Perth Stn,74172
WES-RAI-1830,S74172_358,2426739,0,Perth Stn,74172
WES-RAI-1830,S74172_358,2426740,0,Perth Stn,74172
WES-RAI-1830,S74172_358,2426741,0,Perth Stn,74172
WES-RAI-1830,S74172_358,2426742,0,Perth Stn,74172
WES-RAI-1830,S74172_358,2426743,0,Perth Stn,74172
WES-RAI-1830,S74172_358,2426744,0,Perth Stn,74172
WES-RAI-1830,S74172_358,2426745,0,Perth Stn,74172
WES-RAI-1830,S74172_358,2426746,0,Perth Stn,74172
WES-RAI-1830,S74172_358,2426747,0,Perth Stn,74172
WES-RAI-1830,S74172_358,2426748,0,Perth Stn,74172
WES-RAI-1830,S74172_358,2426749,0,Perth Stn,74172
WES-RAI-1830,S74172_358,2426750,0,Perth Stn,74172
PTR-GDN-3900,493,2528567,1,Wandina,76039
PTR-GDN-3900,493,2528568,1,Wandina,76039
PTR-GDN-3900,493,2528569,1,Wandina,76039
PTR-GDN-3900,493,2528570,0,Geraldton,76040
PTR-GDN-3900,493,2528571,0,Geraldton,76040
PTR-GDN-3900,493,2528572,0,Geraldton,76040
PTR-GDN-3901,474,2527675,1,Northgate Shop Centre,76042
PTR-GDN-3901,475,2527676,1,Northgate Shop Centre,76042
PTR-GDN-3901,493,2528575,1,Northgate Shop Centre,76042
PTR-GDN-3901,493,2528576,1,Anzac Tce,76043
TRA-TRA-3527,339,2560593,1,East Perth,76845
TRA-TRA-3527,340,2560594,1,East Perth,76846
TRA-TRA-3527,341,2560595,1,East Perth,76847
TRA-TRA-2150,237,2560598,1,Esperance,76850
TRA-TRA-2150,238,2560599,1,Esperance,76851
TRA-TRA-2150,239,2560600,0,Kalgoorlie,76852
TRA-TRA-2150,240,2560601,0,Kalgoorlie,76853
TRA-TRA-2146,262,2560602,1,Esperance,76854
TRA-TRA-2146,263,2560603,0,East Perth,76855
TRA-TRA-2147,266,2560606,1,Esperance,76858
TRA-TRA-2147,267,2560607,0,East Perth,76859
TRA-TRA-2146,268,2560608,1,Esperance,76860
TRA-TRA-2146,269,2560609,0,East Perth,76861
TRA-TRA-2174,217,2560625,1,Albany,76862
TRA-TRA-2174,218,2560626,0,Bunbury Passenger,76863
TRA-TRA-2174,219,2560627,1,Albany,76864
TRA-TRA-2174,220,2560628,0,Bunbury Passenger,76865
TRA-TRA-2164,221,2560629,1,Albany,76866
TRA-TRA-2164,250,2560630,1,Albany,76867
TRA-TRA-2164,252,2560631,0,East Perth,76868
TRA-TRA-2164,254,2560632,1,Albany,76869
TRA-TRA-2164,256,2560634,1,Albany,76871
TRA-TRA-2173,223,2560636,1,East Perth,76873
TRA-TRA-2173,224,2560637,1,Albany,76874
TRA-TRA-2173,225,2560638,1,Albany,76875
TRA-TRA-2173,226,2560639,1,East Perth,76876
TRA-TRA-2173,227,2560640,0,East Perth,76877
TRA-TRA-2173,228,2560641,1,Albany,76878
TRA-TRA-2173,229,2560642,1,Albany,76879
TRA-TRA-2173,230,2560643,0,East Perth,76880
TRA-TRA-2173,231,2560644,0,East Perth,76881
TRA-TRA-2178,241,2560674,0,East Perth,76883
TRA-TRA-2178,242,2560675,1,Geraldton,76884
TRA-TRA-2177,243,2560676,1,Geraldton,76885
TRA-TRA-2177,244,2560677,0,East Perth,76886
TRA-TRA-2177,246,2560679,1,Geraldton,76888
TRA-TRA-2177,247,2560680,0,East Perth,76889
TRA-TRA-2179,248,2560681,1,Meekatharra,76890
TRA-TRA-2179,249,2560682,0,Geraldton,76891
TRA-TRA-2160,207,2560711,1,Augusta,76909
TRA-TRA-2160,208,2560712,0,East Perth,76910
TRA-TRA-2160,209,2560713,1,Augusta,76911
TRA-TRA-2160,211,2560715,0,East Perth,76913
TRA-TRA-3611,285,2560812,1,Geraldton,76923
TRA-TRA-3611,286,2560813,0,East Perth,76924
TRA-TRA-3611,287,2560814,1,Geraldton,76925
TRA-TRA-3611,288,2560815,1,East Perth,76926
TRA-TRA-3528,336,2685445,1,Northam,79231
TRA-TRA-3528,337,2685446,1,Midland,79232
TRA-TRA-2164,255,2713995,1,East Perth,79554
TRA-TRA-2164,257,2713996,1,East Perth,79555
TRA-TRA-2160,210,2718561,1,East Perth,79738
TRA-TRA-2180,233,2945197,1,Hopetoun,82954
TRA-TRA-2180,234,2945198,0,Albany,82955
PTR-GDN-3873,493,2987603,1,Northgate Shop Centre,83555
PTR-GDN-3873,493,2987604,1,Northgate Shop Centre,83555
PTR-GDN-3873,493,2987605,1,Northgate Shop Centre,83555
PTR-GDN-3873,493,2987606,1,Northgate Shop Centre,83555
PTR-GDN-3873,493,2987607,1,Northgate Shop Centre,83555
PTR-GDN-3873,493,2987608,1,Northgate Shop Centre,83555
PTR-GDN-3873,493,2987609,1,Northgate Shop Centre,83555
PTR-GDN-3873,493,2987610,1,Northgate Shop Centre,83555
PTR-GDN-3873,493,2987611,1,Northgate Shop Centre,83555
PTR-GDN-3873,493,2987612,1,Northgate Shop Centre,83555
PTR-GDN-3873,493,2987613,1,Northgate Shop Centre,83555
PTR-GDN-3873,493,2987614,1,Northgate Shop Centre,83555
PTR-GDN-3873,493,2987615,1,Northgate Shop Centre,83555
PTR-GDN-3873,493,2987616,1,Northgate Shop Centre,83555
PTR-GDN-3873,474,2987624,1,Northgate Shop Centre,83555
PTR-GDN-3873,477,2987625,1,Northgate Shop Centre,83555
PTR-GDN-3873,477,2987626,1,Northgate Shop Centre,83555
PTR-GDN-3873,477,2987627,1,Northgate Shop Centre,83555
PTR-GDN-3873,477,2987628,1,Northgate Shop Centre,83555
PTR-GDN-3873,477,2987629,1,Northgate Shop Centre,83555
PTR-GDN-3873,477,2987630,1,Northgate Shop Centre,83555
PTR-GDN-3873,477,2987631,1,Northgate Shop Centre,83555
PTR-GDN-3873,475,2987632,1,Northgate Shop Centre,83555
PTR-GDN-3873,475,2987633,1,Northgate Shop Centre,83555
PTR-GDN-3896,493,2987634,1,Drummond Cove,83556
PTR-GDN-3896,493,2987635,1,Drummond Cove,83556
PTR-GDN-3896,493,2987636,1,Drummond Cove,83556
